claim_id,policy_id,insured_id,cause_of_loss,loss_date,report_lag_days,gross_incurred_usd,bi_loss_usd,non_bi_loss_usd,paid_to_date_usd,downtime_hours,systems_affected,claim_status
CLM-70025,POL-2020131,INS-10131,Data Breach,2025-02-01,6,76875,4912,71963,61592,58.4,Core Banking,Closed
CLM-70026,POL-2020134,INS-10134,Ransomware,2020-07-09,7,5874,3171,2703,2395,259.3,Payment Processing,Closed
CLM-70027,POL-2020138,INS-10138,Business Email Compromise,2023-02-18,18,407904,0,407904,344416,0.0,,Closed
CLM-70028,POL-2020142,INS-10142,Business Email Compromise,2025-05-13,0,98761,15629,83132,97700,222.2,Core Banking,Closed
CLM-70029,POL-2020143,INS-10143,Ransomware,2020-08-05,2,2129273,1427414,701859,1446441,234.4,Email/Productivity,Closed
CLM-70030,POL-2020144,INS-10144,Third-Party Breach,2021-01-23,10,2750618,588869,2161749,1441488,60.2,Payment Processing,Closed
CLM-70031,POL-2020157,INS-10157,Wire Fraud,2020-10-11,5,144888,34900,109988,97911,126.3,Trading Platform,Closed
CLM-70032,POL-2020167,INS-10167,Wire Fraud,2021-12-18,0,119244,3361,115883,87728,76.3,Core Banking,Open
CLM-70033,POL-2020176,INS-10176,Ransomware,2024-09-19,26,8249,4775,3474,8237,144.5,Email/Productivity,Closed
CLM-70034,POL-2020177,INS-10177,Business Email Compromise,2023-03-14,8,3711,726,2985,2484,81.1,Multiple Systems,Closed
CLM-70035,POL-2020180,INS-10180,Data Breach,2024-11-10,20,5409089,1617135,3791954,4530934,68.4,Trading Platform,Open
CLM-70036,POL-2020190,INS-10190,Business Email Compromise,2020-12-06,3,61992,4929,57063,42105,667.3,Payment Processing,Closed
CLM-70037,POL-2020191,INS-10191,Ransomware,2021-09-19,0,113588,52932,60656,60919,52.8,Core Banking,Closed
CLM-70038,POL-2020198,INS-10198,Ransomware,2024-12-09,2,193434,81067,112367,114714,360.6,Trading Platform,Open
CLM-70039,POL-2020198,INS-10198,Ransomware,2024-10-18,1,23659441,14780448,8878993,14031523,129.4,Email/Productivity,Open
CLM-70040,POL-2020201,INS-10201,Business Email Compromise,2023-02-01,3,5469,255,5214,4906,15.9,Trading Platform,Open
CLM-70041,POL-2020215,INS-10215,DDoS,2024-01-03,7,144388,84270,60118,110555,765.2,Multiple Systems,Closed
CLM-70042,POL-2020217,INS-10217,Ransomware,2020-12-03,4,614863,267315,347548,313210,125.3,Trading Platform,Closed
CLM-70043,POL-2020227,INS-10227,Business Email Compromise,2021-10-16,6,7790785,1376966,6413819,3796495,376.5,Multiple Systems,Open
CLM-70044,POL-2020233,INS-10233,Data Breach,2022-09-10,0,7552926,164711,7388215,3482348,248.5,Email/Productivity,Closed
CLM-70045,POL-2020237,INS-10237,Data Breach,2024-10-30,1,4934438,473488,4460950,2987673,438.0,Payment Processing,Open
CLM-70046,POL-2020247,INS-10247,Data Breach,2023-03-04,4,55628,13457,42171,24765,71.4,Payment Processing,Closed
CLM-70047,POL-2020263,INS-10263,Business Email Compromise,2025-08-25,8,324322,1321,323001,129738,195.6,Customer Portal,Closed
CLM-70048,POL-2020264,INS-10264,Ransomware,2022-01-29,13,8607489,4892589,3714900,6591797,344.1,Email/Productivity,Reopened
CLM-70049,POL-2020265,INS-10265,Third-Party Breach,2021-12-11,0,8181302,4055018,4126284,5376388,320.8,Email/Productivity,Open
CLM-70050,POL-2020268,INS-10268,Business Email Compromise,2024-02-05,8,1308264,229097,1079167,713841,68.2,Payment Processing,Closed
CLM-70051,POL-2020270,INS-10270,Business Email Compromise,2022-11-04,21,69319,0,69319,33352,0.0,,Closed
CLM-70052,POL-2020270,INS-10270,Insider Threat,2023-01-10,6,216325,44851,171474,124427,770.2,Customer Portal,Open
CLM-70053,POL-2020271,INS-10271,Third-Party Breach,2020-11-18,3,13418,4432,8986,8702,304.0,Multiple Systems,Open
CLM-70054,POL-2020271,INS-10271,Business Email Compromise,2020-11-19,8,592185,2613,589572,500503,66.9,Core Banking,Open
CLM-70055,POL-2020277,INS-10277,Wire Fraud,2023-11-25,5,21607,1993,19614,19011,213.9,Customer Portal,Closed
CLM-70056,POL-2020278,INS-10278,DDoS,2023-11-22,5,262036,189189,72847,230152,79.1,Trading Platform,Closed
CLM-70057,POL-2020280,INS-10280,Business Email Compromise,2022-01-30,11,33984,4193,29791,19634,51.9,Trading Platform,Open
CLM-70058,POL-2020284,INS-10284,Third-Party Breach,2022-02-11,29,4148,898,3250,4005,687.1,Payment Processing,Closed
CLM-70059,POL-2020299,INS-10299,Business Email Compromise,2023-01-09,17,319153,44826,274327,239863,72.0,Multiple Systems,Open
CLM-70060,POL-2020303,INS-10303,Ransomware,2020-11-28,1,37263,21467,15796,30247,6.3,Payment Processing,Open
CLM-70061,POL-2020308,INS-10308,Data Breach,2023-07-04,0,177707,16203,161504,163934,61.3,Customer Portal,Closed
CLM-70062,POL-2020321,INS-10321,Business Email Compromise,2025-04-11,3,520873,27887,492986,292525,465.4,Email/Productivity,Closed
CLM-70063,POL-2020322,INS-10322,Other,2022-01-20,2,67555,15366,52189,28394,548.3,Multiple Systems,Open
CLM-70064,POL-2020333,INS-10333,Ransomware,2021-05-26,22,1923956,1232800,691156,1707390,62.6,Email/Productivity,Closed
CLM-70065,POL-2020336,INS-10336,Data Breach,2023-04-23,22,2054050,473233,1580817,1438669,80.9,Customer Portal,Closed
CLM-70066,POL-2020338,INS-10338,Third-Party Breach,2025-01-08,2,640377,208175,432202,336867,15.0,Payment Processing,Closed
CLM-70067,POL-2020341,INS-10341,Business Email Compromise,2020-04-09,1,13796,0,13796,12390,0.0,,Open
CLM-70068,POL-2020342,INS-10342,Data Breach,2025-06-28,4,3353255,779963,2573292,2608980,13.6,Customer Portal,Closed
CLM-70069,POL-2020344,INS-10344,Data Breach,2024-08-25,8,850970,124242,726728,542453,655.6,Multiple Systems,Open
CLM-70070,POL-2020349,INS-10349,Data Breach,2021-08-13,2,118787,19094,99693,82386,63.1,Customer Portal,Closed
CLM-70071,POL-2020357,INS-10357,DDoS,2021-03-28,9,28509,18591,9918,26402,226.3,Trading Platform,Closed
CLM-70072,POL-2020362,INS-10362,Wire Fraud,2024-05-15,2,58490,1118,57372,31474,45.0,Email/Productivity,Closed
CLM-70073,POL-2020384,INS-10384,Business Email Compromise,2024-02-21,2,282990,52108,230882,239214,277.3,Core Banking,Closed
CLM-70074,POL-2020384,INS-10384,Wire Fraud,2024-05-09,10,113629,6278,107351,104309,48.1,Customer Portal,Closed
CLM-70075,POL-2020391,INS-10391,Business Email Compromise,2020-09-04,11,1156850,200818,956032,585001,127.1,Customer Portal,Closed
CLM-70076,POL-2020392,INS-10392,Ransomware,2023-06-07,0,519920,330451,189469,389763,151.8,Core Banking,Reopened
CLM-70077,POL-2020396,INS-10396,Ransomware,2024-07-15,0,6647362,2873014,3774348,5789502,268.7,Payment Processing,Open
CLM-70078,POL-2020407,INS-10407,Third-Party Breach,2023-01-15,18,13542297,6500620,7041677,10065404,253.7,Customer Portal,Open
CLM-70079,POL-2020409,INS-10409,Ransomware,2025-06-25,15,3444498,1807501,1636997,2374980,7.6,Core Banking,Closed
CLM-70080,POL-2020412,INS-10412,Business Email Compromise,2020-10-16,0,761843,12318,749525,689828,153.9,Email/Productivity,Open
CLM-70081,POL-2020428,INS-10428,Business Email Compromise,2022-07-19,6,139910,4162,135748,66268,106.5,Payment Processing,Closed
CLM-70082,POL-2020430,INS-10430,Data Breach,2021-08-09,1,149288,29221,120067,101856,679.1,Multiple Systems,Closed
CLM-70083,POL-2020431,INS-10431,Data Breach,2021-10-09,6,4179836,708547,3471289,2931498,867.6,Multiple Systems,Closed
CLM-70084,POL-2020433,INS-10433,Data Breach,2024-01-22,27,386388,89319,297069,375060,21.0,Trading Platform,Open
CLM-70085,POL-2020436,INS-10436,Business Email Compromise,2021-03-23,2,39498,3825,35673,16343,5.8,Payment Processing,Open
CLM-70086,POL-2020436,INS-10436,Business Email Compromise,2021-05-30,10,109740,0,109740,50921,0.0,,Closed
CLM-70087,POL-2020437,INS-10437,Data Breach,2022-07-18,4,110375,30091,80284,52852,49.9,Core Banking,Open
CLM-70088,POL-2020438,INS-10438,Data Breach,2022-03-13,4,917127,161047,756080,699988,229.9,Trading Platform,Closed
CLM-70089,POL-2020444,INS-10444,Ransomware,2024-05-07,0,3922047,2590813,1331234,2150223,127.6,Multiple Systems,Closed
CLM-70090,POL-2020445,INS-10445,Business Email Compromise,2024-12-29,24,524653,19633,505020,276955,19.7,Customer Portal,Closed
CLM-70091,POL-2020449,INS-10449,Business Email Compromise,2024-12-04,4,150368,0,150368,104181,0.0,,Closed
CLM-70092,POL-2020453,INS-10453,Business Email Compromise,2024-07-26,0,101963,0,101963,73705,0.0,,Open
CLM-70093,POL-2020461,INS-10461,Wire Fraud,2024-07-14,1,133327,28922,104405,132812,182.3,Customer Portal,Closed
CLM-70094,POL-2020466,INS-10466,Business Email Compromise,2022-04-25,0,243303,0,243303,104735,0.0,,Closed
CLM-70095,POL-2020476,INS-10476,Ransomware,2023-02-02,1,722912,387436,335476,609440,281.7,Core Banking,Closed
CLM-70096,POL-2020477,INS-10477,Business Email Compromise,2025-05-29,9,264561,51085,213476,150998,30.6,Customer Portal,Closed
CLM-70097,POL-2020480,INS-10480,Business Email Compromise,2021-02-09,7,17839,3236,14603,17523,190.9,Payment Processing,Closed
CLM-70098,POL-2020483,INS-10483,Third-Party Breach,2020-09-20,10,1557713,574277,983436,1432639,18.1,Trading Platform,Closed
CLM-70099,POL-2020497,INS-10497,Data Breach,2024-01-22,9,51495,13437,38058,33712,297.4,Core Banking,Closed
CLM-70100,POL-2020499,INS-10499,Third-Party Breach,2021-11-26,1,122579,28544,94035,113931,10.5,Trading Platform,Closed
CLM-70101,POL-2020499,INS-10499,Business Email Compromise,2022-01-08,10,1533173,152995,1380178,781428,14.7,Multiple Systems,Closed
CLM-70102,POL-2020503,INS-10503,Other,2020-04-26,1,62366,17821,44545,53846,244.7,Customer Portal,Closed
CLM-70103,POL-2020503,INS-10503,Ransomware,2020-10-29,3,81209,39141,42068,68993,79.2,Multiple Systems,Closed
CLM-70104,POL-2020511,INS-10511,Third-Party Breach,2023-08-10,8,2089807,626861,1462946,1984774,205.1,Multiple Systems,Closed
CLM-70105,POL-2020513,INS-10513,Ransomware,2021-09-15,15,2408909,1558982,849927,2322791,75.6,Payment Processing,Closed
CLM-70106,POL-2020522,INS-10522,Other,2023-06-24,11,16035,2998,13037,11683,993.8,Core Banking,Closed
CLM-70107,POL-2020523,INS-10523,Third-Party Breach,2022-01-21,0,5228209,1105791,4122418,2352744,133.6,Trading Platform,Open
CLM-70108,POL-2020526,INS-10526,Third-Party Breach,2025-08-30,2,123101,36504,86597,100849,270.5,Core Banking,Closed
CLM-70109,POL-2020538,INS-10538,Business Email Compromise,2024-01-07,4,148765,0,148765,63040,0.0,,Closed
CLM-70110,POL-2020539,INS-10539,Data Breach,2021-03-27,40,1211692,263841,947851,686785,450.9,Core Banking,Closed
CLM-70111,POL-2020543,INS-10543,Third-Party Breach,2023-09-08,4,3787950,1892299,1895651,3131372,18.2,Multiple Systems,Open
CLM-70112,POL-2020553,INS-10553,Data Breach,2021-11-01,7,1640382,46752,1593630,978285,90.9,Email/Productivity,Closed
CLM-70113,POL-2020556,INS-10556,Business Email Compromise,2023-04-14,3,31861,6234,25627,27005,72.4,Payment Processing,Closed
CLM-70114,POL-2020566,INS-10566,DDoS,2020-11-17,4,129952,97356,32596,92273,40.1,Payment Processing,Open
CLM-70115,POL-2020567,INS-10567,Business Email Compromise,2025-07-20,1,103353,0,103353,60682,0.0,,Closed
CLM-70116,POL-2020570,INS-10570,Wire Fraud,2022-12-20,1,1395854,286113,1109741,1189680,348.5,Multiple Systems,Closed
CLM-70117,POL-2020574,INS-10574,Ransomware,2021-04-08,4,1293934,674525,619409,793311,11.6,Multiple Systems,Closed
CLM-70118,POL-2020576,INS-10576,Ransomware,2021-02-15,16,115357,60932,54425,77601,216.0,Core Banking,Closed
CLM-70119,POL-2020581,INS-10581,Other,2021-04-07,0,135706,43240,92466,130001,171.2,Trading Platform,Open
CLM-70120,POL-2020583,INS-10583,Business Email Compromise,2022-10-23,10,950520,189223,761297,598394,266.2,Multiple Systems,Closed
CLM-70121,POL-2020590,INS-10590,Ransomware,2022-10-27,3,75831,32491,43340,57073,32.5,Customer Portal,Closed
CLM-70122,POL-2020595,INS-10595,Wire Fraud,2023-07-31,4,376264,0,376264,185709,0.0,,Open
CLM-70123,POL-2020603,INS-10603,Business Email Compromise,2022-02-09,7,101332,0,101332,77720,0.0,,Open
CLM-70124,POL-2020610,INS-10610,DDoS,2022-03-17,8,191119,161694,29425,162572,153.3,Trading Platform,Closed
CLM-70125,POL-2020611,INS-10611,Business Email Compromise,2023-01-26,15,1012828,177597,835231,916788,223.8,Core Banking,Open
CLM-70126,POL-2020612,INS-10612,Third-Party Breach,2022-08-05,3,5703,1913,3790,5421,574.3,Trading Platform,Open
CLM-70127,POL-2020614,INS-10614,Business Email Compromise,2021-04-10,8,2288,294,1994,1366,87.0,Multiple Systems,Open
CLM-70128,POL-2020621,INS-10621,Business Email Compromise,2021-03-20,13,50453,0,50453,47589,0.0,,Open
CLM-70129,POL-2020624,INS-10624,DDoS,2024-04-27,8,233193,128948,104245,221257,99.1,Email/Productivity,Open
CLM-70130,POL-2020639,INS-10639,Ransomware,2024-09-06,1,8084015,4906402,3177613,7800777,536.6,Payment Processing,Closed
CLM-70131,POL-2020654,INS-10654,Business Email Compromise,2024-08-24,13,291069,42414,248655,150447,61.3,Trading Platform,Closed
CLM-70132,POL-2020654,INS-10654,Ransomware,2024-11-23,0,860697,451008,409689,494303,726.6,Email/Productivity,Closed
CLM-70133,POL-2020657,INS-10657,Ransomware,2022-12-29,4,815722,383651,432071,408982,139.4,Multiple Systems,Closed
CLM-70134,POL-2020675,INS-10675,Ransomware,2021-04-02,40,71053,43062,27991,61633,339.1,Multiple Systems,Closed
CLM-70135,POL-2020693,INS-10693,Business Email Compromise,2024-12-20,10,122014,17421,104593,54217,221.3,Payment Processing,Closed
CLM-70136,POL-2020700,INS-10700,Business Email Compromise,2024-04-03,2,125037,14639,110398,82608,71.8,Trading Platform,Closed
CLM-70137,POL-2020700,INS-10700,Business Email Compromise,2024-04-05,4,101784,0,101784,81216,0.0,,Closed
CLM-70138,POL-2020705,INS-10705,Business Email Compromise,2021-10-22,2,87022,1950,85072,65384,118.2,Email/Productivity,Closed
CLM-70139,POL-2020713,INS-10713,Data Breach,2024-12-09,2,21785262,2273137,19512125,14926236,165.7,Multiple Systems,Open
CLM-70140,POL-2020730,INS-10730,Business Email Compromise,2025-06-17,11,737014,142515,594499,416956,209.1,Payment Processing,Closed
CLM-70141,POL-2020735,INS-10735,Insider Threat,2021-09-11,0,1356742,306233,1050509,869315,72.9,Payment Processing,Closed
CLM-70142,POL-2020736,INS-10736,Business Email Compromise,2025-01-22,13,52782,0,52782,48477,0.0,,Closed
CLM-70143,POL-2020747,INS-10747,Third-Party Breach,2025-01-24,2,79670,38374,41296,69669,91.5,Email/Productivity,Closed
CLM-70144,POL-2020750,INS-10750,Wire Fraud,2023-09-08,0,389467,4074,385393,220512,421.8,Customer Portal,Closed
CLM-70145,POL-2020764,INS-10764,Third-Party Breach,2025-01-03,12,1867204,423690,1443514,1351680,195.5,Trading Platform,Closed
CLM-70146,POL-2020788,INS-10788,Data Breach,2025-06-24,10,151330,30595,120735,105882,15.0,Payment Processing,Closed
CLM-70147,POL-2020796,INS-10796,Ransomware,2024-03-26,3,25590,14667,10923,23060,67.8,Customer Portal,Closed
CLM-70148,POL-2020801,INS-10801,Ransomware,2025-02-18,4,70279,28776,41503,47508,732.4,Core Banking,Open
CLM-70149,POL-2020809,INS-10809,Ransomware,2023-05-18,14,148872,75587,73285,136128,63.7,Customer Portal,Closed
CLM-70150,POL-2020810,INS-10810,Third-Party Breach,2025-04-08,7,127648,46086,81562,110033,443.9,Email/Productivity,Closed
CLM-70151,POL-2020820,INS-10820,Business Email Compromise,2022-05-21,1,580339,0,580339,570236,0.0,,Closed
CLM-70152,POL-2020823,INS-10823,DDoS,2025-01-16,4,27489,18362,9127,25718,156.1,Core Banking,Open
CLM-70153,POL-2020828,INS-10828,Wire Fraud,2022-02-21,3,137339,15053,122286,112859,527.7,Email/Productivity,Open
CLM-70154,POL-2020835,INS-10835,Ransomware,2025-03-07,19,1309003,834195,474808,1013198,262.8,Core Banking,Closed
CLM-70155,POL-2020836,INS-10836,Ransomware,2023-09-17,9,2707498,1303640,1403858,2347634,185.5,Customer Portal,Closed
CLM-70156,POL-2020866,INS-10866,Ransomware,2022-05-04,16,1862956,868976,993980,1294214,273.0,Trading Platform,Closed
CLM-70157,POL-2020883,INS-10883,DDoS,2022-01-25,4,54871,33251,21620,34132,36.2,Trading Platform,Open
CLM-70158,POL-2020893,INS-10893,Ransomware,2024-11-27,24,3387813,1683010,1704803,1552453,86.1,Payment Processing,Closed
CLM-70159,POL-2020894,INS-10894,Wire Fraud,2020-08-20,0,153175,37274,115901,103725,31.4,Email/Productivity,Closed
CLM-70160,POL-2020901,INS-10901,Data Breach,2021-10-30,0,457778,109526,348252,203083,40.4,Trading Platform,Open
CLM-70161,POL-2020909,INS-10909,Third-Party Breach,2021-12-25,4,431428,102244,329184,418109,257.4,Trading Platform,Closed
CLM-70162,POL-2020911,INS-10911,Insider Threat,2020-07-20,4,6864038,2925498,3938540,5380121,120.1,Trading Platform,Closed
CLM-70163,POL-2020918,INS-10918,Business Email Compromise,2023-01-18,4,490122,0,490122,386332,0.0,,Closed
CLM-70164,POL-2020924,INS-10924,Third-Party Breach,2020-12-05,6,181715,72073,109642,117404,10.7,Customer Portal,Closed
CLM-70165,POL-2020937,INS-10937,Business Email Compromise,2020-07-02,0,156145,22826,133319,116232,239.2,Core Banking,Closed
CLM-70166,POL-2020937,INS-10937,Ransomware,2020-05-11,1,45785588,30684282,15101306,28161326,201.9,Customer Portal,Open
CLM-70167,POL-2020947,INS-10947,Data Breach,2021-03-14,1,2105469,1044,2104425,860341,127.0,Multiple Systems,Closed
CLM-70168,POL-2020951,INS-10951,Wire Fraud,2024-05-24,0,1223913,199758,1024155,1052647,106.4,Core Banking,Closed
CLM-70169,POL-2020954,INS-10954,Business Email Compromise,2022-07-18,1,39096,6900,32196,33693,89.2,Multiple Systems,Closed
CLM-70170,POL-2020956,INS-10956,Business Email Compromise,2024-08-02,3,99453,13454,85999,69096,40.2,Core Banking,Closed
CLM-70171,POL-2020970,INS-10970,Business Email Compromise,2021-06-02,22,7796,566,7230,5410,230.7,Core Banking,Open
CLM-70172,POL-2020976,INS-10976,Insider Threat,2020-09-20,1,239145,39564,199581,224827,27.9,Trading Platform,Closed
CLM-70173,POL-2020986,INS-10986,Data Breach,2021-07-29,6,612420,179064,433356,435401,105.8,Email/Productivity,Open
CLM-70174,POL-2020991,INS-10991,Ransomware,2022-01-28,8,428988,297310,131678,382110,30.7,Multiple Systems,Open
CLM-70175,POL-2021003,INS-11003,Third-Party Breach,2022-06-08,5,1805787,606690,1199097,1127018,257.3,Customer Portal,Closed
CLM-70176,POL-2021004,INS-11004,Data Breach,2020-06-16,0,1096690,26131,1070559,824195,511.5,Core Banking,Closed
CLM-70177,POL-2021006,INS-11006,Ransomware,2022-05-07,9,315979,152824,163155,248060,8.2,Payment Processing,Closed
CLM-70178,POL-2021008,INS-11008,DDoS,2024-02-22,11,13429,9122,4307,9213,126.9,Multiple Systems,Closed
CLM-70179,POL-2021010,INS-11010,Insider Threat,2023-01-21,0,6920657,2649423,4271234,4301061,8.1,Payment Processing,Open
CLM-70180,POL-2021020,INS-11020,Ransomware,2022-08-09,6,1275212,545431,729781,835940,84.3,Email/Productivity,Closed
CLM-70181,POL-2021024,INS-11024,Insider Threat,2022-12-14,1,64470,27408,37062,64321,64.8,Customer Portal,Closed
CLM-70182,POL-2021030,INS-11030,Other,2024-01-31,28,36380,6555,29825,24371,157.0,Core Banking,Closed
CLM-70183,POL-2021041,INS-11041,Ransomware,2021-05-01,7,523172,270161,253011,512703,66.9,Trading Platform,Closed
CLM-70184,POL-2021047,INS-11047,Third-Party Breach,2024-07-21,3,3436542,1653977,1782565,2701058,71.2,Core Banking,Open
CLM-70185,POL-2021050,INS-11050,Ransomware,2021-08-11,4,1415392,752009,663383,1356652,36.5,Multiple Systems,Open
CLM-70186,POL-2021051,INS-11051,Ransomware,2022-05-14,0,724519,405303,319216,509529,26.0,Customer Portal,Reopened
CLM-70187,POL-2021060,INS-11060,Business Email Compromise,2021-11-21,8,611048,29720,581328,402523,105.6,Core Banking,Open
CLM-70188,POL-2021071,INS-11071,Business Email Compromise,2022-06-22,3,468263,59835,408428,378298,42.4,Payment Processing,Open
CLM-70189,POL-2021073,INS-11073,Business Email Compromise,2022-07-08,4,62985,5652,57333,45784,21.9,Payment Processing,Closed
CLM-70190,POL-2021074,INS-11074,DDoS,2020-08-16,1,130824,110419,20405,63452,13.3,Email/Productivity,Closed
CLM-70191,POL-2021078,INS-11078,Third-Party Breach,2023-03-15,2,1035714,443219,592495,969903,82.5,Core Banking,Closed
CLM-70192,POL-2021083,INS-11083,Ransomware,2023-09-24,3,49690,25502,24188,20754,106.4,Payment Processing,Open
CLM-70193,POL-2021085,INS-11085,Ransomware,2023-11-17,0,5291285,3476175,1815110,4190904,13.6,Email/Productivity,Open
CLM-70194,POL-2021089,INS-11089,Ransomware,2021-03-30,14,432173,228253,203920,183874,70.9,Payment Processing,Open
CLM-70195,POL-2021090,INS-11090,Data Breach,2022-04-20,0,26581,2644,23937,18210,37.4,Core Banking,Open
CLM-70196,POL-2021090,INS-11090,Data Breach,2022-05-08,1,127346,2190,125156,92569,33.1,Multiple Systems,Closed
CLM-70197,POL-2021091,INS-11091,Wire Fraud,2023-05-25,15,1798729,175419,1623310,940378,216.4,Core Banking,Open
CLM-70198,POL-2021094,INS-11094,Insider Threat,2021-01-25,35,1313003,562037,750966,910092,63.6,Payment Processing,Open
CLM-70199,POL-2021097,INS-11097,Business Email Compromise,2025-03-26,2,35634,0,35634,16341,0.0,,Closed
CLM-70200,POL-2021108,INS-10008,Ransomware,2020-11-20,11,11190477,7024117,4166360,10880081,46.7,Core Banking,Open
CLM-70201,POL-2021111,INS-10011,Data Breach,2023-01-13,1,198116,13304,184812,101177,24.6,Customer Portal,Closed
CLM-70202,POL-2021113,INS-10013,Third-Party Breach,2022-05-04,16,1876916,478747,1398169,1321005,128.0,Email/Productivity,Closed
CLM-70203,POL-2021122,INS-10022,Ransomware,2023-04-22,3,2133228,1403253,729975,1974027,24.5,Trading Platform,Closed
CLM-70204,POL-2021136,INS-10036,Ransomware,2022-06-08,5,125134,55967,69167,62425,977.5,Multiple Systems,Open
CLM-70205,POL-2021152,INS-10052,Data Breach,2021-12-15,3,271083,18009,253074,192358,33.5,Customer Portal,Closed
CLM-70206,POL-2021156,INS-10056,DDoS,2021-06-21,3,162736,128831,33905,138018,22.8,Multiple Systems,Open
CLM-70207,POL-2021157,INS-10057,Third-Party Breach,2023-08-21,27,1466070,627488,838582,965653,348.2,Trading Platform,Reopened
CLM-70208,POL-2021169,INS-10069,Ransomware,2023-07-17,2,1472867,731423,741444,858765,135.3,Payment Processing,Closed
CLM-70209,POL-2021176,INS-10076,DDoS,2023-04-27,10,156316,94324,61992,90588,446.1,Customer Portal,Closed
CLM-70210,POL-2021182,INS-10082,Ransomware,2021-07-12,2,9964617,5685760,4278857,8325683,53.5,Email/Productivity,Closed
CLM-70211,POL-2021190,INS-10090,Ransomware,2022-12-09,11,656611,336707,319904,432359,28.0,Payment Processing,Closed
CLM-70212,POL-2021199,INS-10099,Business Email Compromise,2020-12-17,5,107921,0,107921,76774,0.0,,Open
CLM-70213,POL-2021202,INS-10102,Business Email Compromise,2023-03-18,5,109039,169,108870,79812,37.4,Email/Productivity,Open
CLM-70214,POL-2021202,INS-10102,Ransomware,2023-06-14,0,197444,92438,105006,125862,301.0,Payment Processing,Closed
CLM-70215,POL-2021203,INS-10103,Business Email Compromise,2025-01-03,0,1865775,8001,1857774,1661166,32.8,Customer Portal,Closed
CLM-70216,POL-2021214,INS-10114,Insider Threat,2020-10-08,8,54746,8855,45891,51708,518.4,Email/Productivity,Closed
CLM-70217,POL-2021214,INS-10114,Data Breach,2020-10-04,2,857144,227784,629360,603615,77.3,Multiple Systems,Closed
