response_id,policy_id,insured_id,question_id,question_text,response_text,response_quality_label
QR-80030,POL-2020003,INS-10003,Q01,Describe your incident response plan and last test date.,We have an incident response plan that was last reviewed in June 2022. The plan covers major incident types. Tabletop exercises are conducted annually. We do not currently have an external IR retainer but have relationships with two firms.,medium
QR-80031,POL-2020003,INS-10003,Q02,Describe your third-party vendor risk management program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80032,POL-2020003,INS-10003,Q03,Describe your data backup strategy and recovery testing cadence.,Production systems are backed up nightly. Backups are stored in a separate region. We perform restoration testing approximately twice per year on select systems. Documented RTO targets exist for most tier-1 applications.,medium
QR-80033,POL-2020003,INS-10003,Q04,"Describe MFA coverage across users, systems, and privileged accounts.",MFA is deployed for approximately 85% of users. Administrative accounts require MFA. Some legacy applications do not yet support MFA and are being remediated as part of our 2024 roadmap.,medium
QR-80034,POL-2020003,INS-10003,Q05,Describe your endpoint detection and response (EDR) deployment.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80035,POL-2020003,INS-10003,Q06,Describe your patch management process and timelines for critical patches.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80036,POL-2020003,INS-10003,Q07,Describe network segmentation between corporate and production environments.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80037,POL-2020003,INS-10003,Q08,Describe your security awareness training program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80038,POL-2020003,INS-10003,Q09,Describe critical system recovery time objectives (RTO) and recovery point objectives (RPO).,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80039,POL-2020003,INS-10003,Q10,Describe your business continuity plan for ransomware scenarios.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80040,POL-2020004,INS-10004,Q01,Describe your incident response plan and last test date.,We have an incident response plan that was last reviewed in September 2022. The plan covers major incident types. Tabletop exercises are conducted annually. We do not currently have an external IR retainer but have relationships with two firms.,medium
QR-80041,POL-2020004,INS-10004,Q02,Describe your third-party vendor risk management program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80042,POL-2020004,INS-10004,Q03,Describe your data backup strategy and recovery testing cadence.,Production systems are backed up nightly. Backups are stored in a separate region. We perform restoration testing approximately twice per year on select systems. Documented RTO targets exist for most tier-1 applications.,medium
QR-80043,POL-2020004,INS-10004,Q04,"Describe MFA coverage across users, systems, and privileged accounts.",MFA is deployed for approximately 85% of users. Administrative accounts require MFA. Some legacy applications do not yet support MFA and are being remediated as part of our 2024 roadmap.,medium
QR-80044,POL-2020004,INS-10004,Q05,Describe your endpoint detection and response (EDR) deployment.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80045,POL-2020004,INS-10004,Q06,Describe your patch management process and timelines for critical patches.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80046,POL-2020004,INS-10004,Q07,Describe network segmentation between corporate and production environments.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80047,POL-2020004,INS-10004,Q08,Describe your security awareness training program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80048,POL-2020004,INS-10004,Q09,Describe critical system recovery time objectives (RTO) and recovery point objectives (RPO).,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80049,POL-2020004,INS-10004,Q10,Describe your business continuity plan for ransomware scenarios.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80050,POL-2020005,INS-10005,Q01,Describe your incident response plan and last test date.,We have an incident response plan document. The plan is reviewed annually. We have not conducted a formal tabletop exercise in the past 18 months.,low
QR-80051,POL-2020005,INS-10005,Q02,Describe your third-party vendor risk management program.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80052,POL-2020005,INS-10005,Q03,Describe your data backup strategy and recovery testing cadence.,Daily backups are performed. Backup recovery is tested when needed. RTO targets are being developed.,low
QR-80053,POL-2020005,INS-10005,Q04,"Describe MFA coverage across users, systems, and privileged accounts.",MFA is deployed for administrators and remote access. Coverage for all users is in progress.,low
QR-80054,POL-2020005,INS-10005,Q05,Describe your endpoint detection and response (EDR) deployment.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80055,POL-2020005,INS-10005,Q06,Describe your patch management process and timelines for critical patches.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80056,POL-2020005,INS-10005,Q07,Describe network segmentation between corporate and production environments.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80057,POL-2020005,INS-10005,Q08,Describe your security awareness training program.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80058,POL-2020005,INS-10005,Q09,Describe critical system recovery time objectives (RTO) and recovery point objectives (RPO).,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80059,POL-2020005,INS-10005,Q10,Describe your business continuity plan for ransomware scenarios.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80060,POL-2020006,INS-10006,Q01,Describe your incident response plan and last test date.,We have an incident response plan that was last reviewed in February 2021. The plan covers major incident types. Tabletop exercises are conducted annually. We do not currently have an external IR retainer but have relationships with two firms.,medium
QR-80061,POL-2020006,INS-10006,Q02,Describe your third-party vendor risk management program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80062,POL-2020006,INS-10006,Q03,Describe your data backup strategy and recovery testing cadence.,Production systems are backed up nightly. Backups are stored in a separate region. We perform restoration testing approximately twice per year on select systems. Documented RTO targets exist for most tier-1 applications.,medium
QR-80063,POL-2020006,INS-10006,Q04,"Describe MFA coverage across users, systems, and privileged accounts.",MFA is deployed for approximately 85% of users. Administrative accounts require MFA. Some legacy applications do not yet support MFA and are being remediated as part of our 2024 roadmap.,medium
QR-80064,POL-2020006,INS-10006,Q05,Describe your endpoint detection and response (EDR) deployment.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80065,POL-2020006,INS-10006,Q06,Describe your patch management process and timelines for critical patches.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80066,POL-2020006,INS-10006,Q07,Describe network segmentation between corporate and production environments.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80067,POL-2020006,INS-10006,Q08,Describe your security awareness training program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80068,POL-2020006,INS-10006,Q09,Describe critical system recovery time objectives (RTO) and recovery point objectives (RPO).,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80069,POL-2020006,INS-10006,Q10,Describe your business continuity plan for ransomware scenarios.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80070,POL-2020007,INS-10007,Q01,Describe your incident response plan and last test date.,We have an incident response plan that was last reviewed in January 2020. The plan covers major incident types. Tabletop exercises are conducted annually. We do not currently have an external IR retainer but have relationships with two firms.,medium
QR-80071,POL-2020007,INS-10007,Q02,Describe your third-party vendor risk management program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80072,POL-2020007,INS-10007,Q03,Describe your data backup strategy and recovery testing cadence.,Production systems are backed up nightly. Backups are stored in a separate region. We perform restoration testing approximately twice per year on select systems. Documented RTO targets exist for most tier-1 applications.,medium
QR-80073,POL-2020007,INS-10007,Q04,"Describe MFA coverage across users, systems, and privileged accounts.",MFA is deployed for approximately 85% of users. Administrative accounts require MFA. Some legacy applications do not yet support MFA and are being remediated as part of our 2024 roadmap.,medium
QR-80074,POL-2020007,INS-10007,Q05,Describe your endpoint detection and response (EDR) deployment.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80075,POL-2020007,INS-10007,Q06,Describe your patch management process and timelines for critical patches.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80076,POL-2020007,INS-10007,Q07,Describe network segmentation between corporate and production environments.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80077,POL-2020007,INS-10007,Q08,Describe your security awareness training program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80078,POL-2020007,INS-10007,Q09,Describe critical system recovery time objectives (RTO) and recovery point objectives (RPO).,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80079,POL-2020007,INS-10007,Q10,Describe your business continuity plan for ransomware scenarios.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80080,POL-2020008,INS-10008,Q01,Describe your incident response plan and last test date.,We have an incident response plan that was last reviewed in February 2022. The plan covers major incident types. Tabletop exercises are conducted annually. We do not currently have an external IR retainer but have relationships with two firms.,medium
QR-80081,POL-2020008,INS-10008,Q02,Describe your third-party vendor risk management program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80082,POL-2020008,INS-10008,Q03,Describe your data backup strategy and recovery testing cadence.,Production systems are backed up nightly. Backups are stored in a separate region. We perform restoration testing approximately twice per year on select systems. Documented RTO targets exist for most tier-1 applications.,medium
QR-80083,POL-2020008,INS-10008,Q04,"Describe MFA coverage across users, systems, and privileged accounts.",MFA is deployed for approximately 85% of users. Administrative accounts require MFA. Some legacy applications do not yet support MFA and are being remediated as part of our 2024 roadmap.,medium
QR-80084,POL-2020008,INS-10008,Q05,Describe your endpoint detection and response (EDR) deployment.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80085,POL-2020008,INS-10008,Q06,Describe your patch management process and timelines for critical patches.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80086,POL-2020008,INS-10008,Q07,Describe network segmentation between corporate and production environments.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80087,POL-2020008,INS-10008,Q08,Describe your security awareness training program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80088,POL-2020008,INS-10008,Q09,Describe critical system recovery time objectives (RTO) and recovery point objectives (RPO).,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80089,POL-2020008,INS-10008,Q10,Describe your business continuity plan for ransomware scenarios.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80090,POL-2020009,INS-10009,Q01,Describe your incident response plan and last test date.,"We maintain a formal incident response plan aligned with NIST SP 800-61. The plan was last tested via tabletop exercise on February 2023 with executive participation. We engage an external IR retainer with a 4-hour SLA. Playbooks exist for ransomware, BEC, and insider threat scenarios.",high
QR-80091,POL-2020009,INS-10009,Q02,Describe your third-party vendor risk management program.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80092,POL-2020009,INS-10009,Q03,Describe your data backup strategy and recovery testing cadence.,All production systems are backed up daily with immutable storage in a separate cloud account. Backups are encrypted with customer-managed keys. We test full restoration of tier-1 systems quarterly; last test completed December 2022 with RTO of 8 hours achieved.,high
QR-80093,POL-2020009,INS-10009,Q04,"Describe MFA coverage across users, systems, and privileged accounts.",MFA is enforced for 100% of users via FIDO2 keys or authenticator apps. Privileged access requires hardware tokens. SaaS applications are integrated via SSO with conditional access policies. Service accounts use certificate-based authentication.,high
QR-80094,POL-2020009,INS-10009,Q05,Describe your endpoint detection and response (EDR) deployment.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80095,POL-2020009,INS-10009,Q06,Describe your patch management process and timelines for critical patches.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80096,POL-2020009,INS-10009,Q07,Describe network segmentation between corporate and production environments.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80097,POL-2020009,INS-10009,Q08,Describe your security awareness training program.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80098,POL-2020009,INS-10009,Q09,Describe critical system recovery time objectives (RTO) and recovery point objectives (RPO).,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80099,POL-2020009,INS-10009,Q10,Describe your business continuity plan for ransomware scenarios.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80100,POL-2020010,INS-10010,Q01,Describe your incident response plan and last test date.,We have an incident response plan document. The plan is reviewed annually. We have not conducted a formal tabletop exercise in the past 18 months.,low
QR-80101,POL-2020010,INS-10010,Q02,Describe your third-party vendor risk management program.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80102,POL-2020010,INS-10010,Q03,Describe your data backup strategy and recovery testing cadence.,Daily backups are performed. Backup recovery is tested when needed. RTO targets are being developed.,low
QR-80103,POL-2020010,INS-10010,Q04,"Describe MFA coverage across users, systems, and privileged accounts.",MFA is deployed for administrators and remote access. Coverage for all users is in progress.,low
QR-80104,POL-2020010,INS-10010,Q05,Describe your endpoint detection and response (EDR) deployment.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80105,POL-2020010,INS-10010,Q06,Describe your patch management process and timelines for critical patches.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80106,POL-2020010,INS-10010,Q07,Describe network segmentation between corporate and production environments.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80107,POL-2020010,INS-10010,Q08,Describe your security awareness training program.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80108,POL-2020010,INS-10010,Q09,Describe critical system recovery time objectives (RTO) and recovery point objectives (RPO).,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80109,POL-2020010,INS-10010,Q10,Describe your business continuity plan for ransomware scenarios.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80110,POL-2020011,INS-10011,Q01,Describe your incident response plan and last test date.,We have an incident response plan that was last reviewed in November 2023. The plan covers major incident types. Tabletop exercises are conducted annually. We do not currently have an external IR retainer but have relationships with two firms.,medium
QR-80111,POL-2020011,INS-10011,Q02,Describe your third-party vendor risk management program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80112,POL-2020011,INS-10011,Q03,Describe your data backup strategy and recovery testing cadence.,Production systems are backed up nightly. Backups are stored in a separate region. We perform restoration testing approximately twice per year on select systems. Documented RTO targets exist for most tier-1 applications.,medium
QR-80113,POL-2020011,INS-10011,Q04,"Describe MFA coverage across users, systems, and privileged accounts.",MFA is deployed for approximately 85% of users. Administrative accounts require MFA. Some legacy applications do not yet support MFA and are being remediated as part of our 2024 roadmap.,medium
QR-80114,POL-2020011,INS-10011,Q05,Describe your endpoint detection and response (EDR) deployment.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80115,POL-2020011,INS-10011,Q06,Describe your patch management process and timelines for critical patches.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80116,POL-2020011,INS-10011,Q07,Describe network segmentation between corporate and production environments.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80117,POL-2020011,INS-10011,Q08,Describe your security awareness training program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80118,POL-2020011,INS-10011,Q09,Describe critical system recovery time objectives (RTO) and recovery point objectives (RPO).,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80119,POL-2020011,INS-10011,Q10,Describe your business continuity plan for ransomware scenarios.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80120,POL-2020012,INS-10012,Q01,Describe your incident response plan and last test date.,"We maintain a formal incident response plan aligned with NIST SP 800-61. The plan was last tested via tabletop exercise on July 2022 with executive participation. We engage an external IR retainer with a 4-hour SLA. Playbooks exist for ransomware, BEC, and insider threat scenarios.",high
QR-80121,POL-2020012,INS-10012,Q02,Describe your third-party vendor risk management program.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80122,POL-2020012,INS-10012,Q03,Describe your data backup strategy and recovery testing cadence.,All production systems are backed up daily with immutable storage in a separate cloud account. Backups are encrypted with customer-managed keys. We test full restoration of tier-1 systems quarterly; last test completed September 2021 with RTO of 8 hours achieved.,high
QR-80123,POL-2020012,INS-10012,Q04,"Describe MFA coverage across users, systems, and privileged accounts.",MFA is enforced for 100% of users via FIDO2 keys or authenticator apps. Privileged access requires hardware tokens. SaaS applications are integrated via SSO with conditional access policies. Service accounts use certificate-based authentication.,high
QR-80124,POL-2020012,INS-10012,Q05,Describe your endpoint detection and response (EDR) deployment.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80125,POL-2020012,INS-10012,Q06,Describe your patch management process and timelines for critical patches.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80126,POL-2020012,INS-10012,Q07,Describe network segmentation between corporate and production environments.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80127,POL-2020012,INS-10012,Q08,Describe your security awareness training program.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80128,POL-2020012,INS-10012,Q09,Describe critical system recovery time objectives (RTO) and recovery point objectives (RPO).,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80129,POL-2020012,INS-10012,Q10,Describe your business continuity plan for ransomware scenarios.,"This is a mature control area with documented procedures, regular testing, and continuous improvement based on metrics and threat intelligence.",high
QR-80130,POL-2020013,INS-10013,Q01,Describe your incident response plan and last test date.,We have an incident response plan document. The plan is reviewed annually. We have not conducted a formal tabletop exercise in the past 18 months.,low
QR-80131,POL-2020013,INS-10013,Q02,Describe your third-party vendor risk management program.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80132,POL-2020013,INS-10013,Q03,Describe your data backup strategy and recovery testing cadence.,Daily backups are performed. Backup recovery is tested when needed. RTO targets are being developed.,low
QR-80133,POL-2020013,INS-10013,Q04,"Describe MFA coverage across users, systems, and privileged accounts.",MFA is deployed for administrators and remote access. Coverage for all users is in progress.,low
QR-80134,POL-2020013,INS-10013,Q05,Describe your endpoint detection and response (EDR) deployment.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80135,POL-2020013,INS-10013,Q06,Describe your patch management process and timelines for critical patches.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80136,POL-2020013,INS-10013,Q07,Describe network segmentation between corporate and production environments.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80137,POL-2020013,INS-10013,Q08,Describe your security awareness training program.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80138,POL-2020013,INS-10013,Q09,Describe critical system recovery time objectives (RTO) and recovery point objectives (RPO).,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80139,POL-2020013,INS-10013,Q10,Describe your business continuity plan for ransomware scenarios.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80140,POL-2020014,INS-10014,Q01,Describe your incident response plan and last test date.,We have an incident response plan that was last reviewed in November 2021. The plan covers major incident types. Tabletop exercises are conducted annually. We do not currently have an external IR retainer but have relationships with two firms.,medium
QR-80141,POL-2020014,INS-10014,Q02,Describe your third-party vendor risk management program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80142,POL-2020014,INS-10014,Q03,Describe your data backup strategy and recovery testing cadence.,Production systems are backed up nightly. Backups are stored in a separate region. We perform restoration testing approximately twice per year on select systems. Documented RTO targets exist for most tier-1 applications.,medium
QR-80143,POL-2020014,INS-10014,Q04,"Describe MFA coverage across users, systems, and privileged accounts.",MFA is deployed for approximately 85% of users. Administrative accounts require MFA. Some legacy applications do not yet support MFA and are being remediated as part of our 2024 roadmap.,medium
QR-80144,POL-2020014,INS-10014,Q05,Describe your endpoint detection and response (EDR) deployment.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80145,POL-2020014,INS-10014,Q06,Describe your patch management process and timelines for critical patches.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80146,POL-2020014,INS-10014,Q07,Describe network segmentation between corporate and production environments.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80147,POL-2020014,INS-10014,Q08,Describe your security awareness training program.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80148,POL-2020014,INS-10014,Q09,Describe critical system recovery time objectives (RTO) and recovery point objectives (RPO).,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80149,POL-2020014,INS-10014,Q10,Describe your business continuity plan for ransomware scenarios.,We have documented procedures in this area which are reviewed periodically. Improvements are ongoing.,medium
QR-80150,POL-2020015,INS-10015,Q01,Describe your incident response plan and last test date.,We have an incident response plan document. The plan is reviewed annually. We have not conducted a formal tabletop exercise in the past 18 months.,low
QR-80151,POL-2020015,INS-10015,Q02,Describe your third-party vendor risk management program.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80152,POL-2020015,INS-10015,Q03,Describe your data backup strategy and recovery testing cadence.,Daily backups are performed. Backup recovery is tested when needed. RTO targets are being developed.,low
QR-80153,POL-2020015,INS-10015,Q04,"Describe MFA coverage across users, systems, and privileged accounts.",MFA is deployed for administrators and remote access. Coverage for all users is in progress.,low
QR-80154,POL-2020015,INS-10015,Q05,Describe your endpoint detection and response (EDR) deployment.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80155,POL-2020015,INS-10015,Q06,Describe your patch management process and timelines for critical patches.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80156,POL-2020015,INS-10015,Q07,Describe network segmentation between corporate and production environments.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80157,POL-2020015,INS-10015,Q08,Describe your security awareness training program.,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
QR-80158,POL-2020015,INS-10015,Q09,Describe critical system recovery time objectives (RTO) and recovery point objectives (RPO).,This area is being developed. We expect to have more mature controls in place within the next 12-18 months.,low
